c,q,alpha_h,s,v,lam_max,N_half
1.20,0.168,0.08926293933,0.1782888945,0.05158543792,0.7197840116,2.1081
1.20,0.169,0.08979557524,0.1793498998,0.05189214607,0.7197495551,2.1078
1.20,0.170,0.09032823449,0.1804109008,0.05219884828,0.7197148761,2.1075
1.20,0.171,0.0908609172,0.1814718973,0.05250554451,0.7196799716,2.1072
1.20,0.172,0.09139362353,0.1825328893,0.05281223474,0.7196448471,2.1068
1.20,0.173,0.0919263536,0.1835938768,0.05311891895,0.7196094935,2.1065
1.20,0.174,0.09245910756,0.1846548597,0.05342559709,0.7195739180,2.1062
1.20,0.175,0.09299188554,0.1857158381,0.05373226915,0.7195381173,2.1059
1.20,0.176,0.09352468769,0.1867768119,0.05403893509,0.7195020900,2.1056
1.20,0.177,0.09405751414,0.1878377811,0.0543455949,0.7194658370,2.1053
1.20,0.178,0.09459036503,0.1888987456,0.05465224854,0.7194293597,2.1049
1.20,0.179,0.0951232405,0.1899597054,0.054958896,0.7193926532,2.1046
1.20,0.180,0.09565614069,0.1910206605,0.05526553723,0.7193557214,2.1043
1.20,0.181,0.09618906574,0.1920816108,0.05557217221,0.7193185644,2.1039
1.20,0.182,0.09672201579,0.1931425564,0.05587880093,0.7192811767,2.1036
1.20,0.183,0.09725499098,0.1942034971,0.05618542334,0.7192435621,2.1033
1.20,0.184,0.09778799144,0.1952644329,0.05649203944,0.7192057215,2.1029
1.20,0.185,0.09832101731,0.1963253639,0.05679864918,0.7191676497,2.1026
1.20,0.186,0.09885406874,0.1973862899,0.05710525255,0.7191293499,2.1023
1.20,0.187,0.09938714587,0.198447211,0.05741184952,0.7190908226,2.1019
1.20,0.188,0.09992024882,0.1995081271,0.05771844006,0.7190520615,2.1016
1.20,0.189,0.1004533777,0.2005690382,0.05802502415,0.7190130733,2.1012
1.20,0.190,0.1009865328,0.2016299443,0.05833160176,0.7189738551,2.1009
1.20,0.191,0.1015197141,0.2026908452,0.05863817287,0.7189344071,2.1005
1.20,0.192,0.1020529217,0.2037517411,0.05894473745,0.7188947262,2.1002
1.20,0.193,0.102586156,0.2048126317,0.05925129549,0.7188548140,2.0998
1.20,0.194,0.1031194168,0.2058735172,0.05955784694,0.7188146697,2.0995
1.20,0.195,0.1036527045,0.2069343975,0.0598643918,0.7187742937,2.0991
1.20,0.196,0.1041860191,0.2079952725,0.06017093003,0.7187336859,2.0988
1.20,0.197,0.1047193608,0.2090561423,0.06047746161,0.7186928438,2.0984
1.20,0.198,0.1052527298,0.2101170067,0.06078398652,0.7186517699,2.0980
1.20,0.199,0.1057861261,0.2111778658,0.06109050474,0.7186104620,2.0977
1.20,0.200,0.1063195499,0.2122387195,0.06139701623,0.7185689200,2.0973
1.20,0.201,0.1068530013,0.2132995677,0.06170352098,0.7185271442,2.0969
1.20,0.202,0.1073864805,0.2143604105,0.06201001897,0.7184851296,2.0966
1.20,0.203,0.1079199877,0.2154212478,0.06231651016,0.7184428862,2.0962
1.20,0.204,0.1084535229,0.2164820796,0.06262299454,0.7184004026,2.0958
1.20,0.205,0.1089870863,0.2175429059,0.06292947209,0.7183576843,2.0954
1.20,0.206,0.109520678,0.2186037265,0.06323594278,0.7183147287,2.0951
1.20,0.207,0.1100542982,0.2196645415,0.06354240658,0.7182715404,2.0947
1.20,0.208,0.1105879471,0.2207253508,0.06384886348,0.7182281104,2.0943
1.20,0.209,0.1111216247,0.2217861545,0.06415531346,0.7181844448,2.0939
1.20,0.210,0.1116553312,0.2228469524,0.06446175649,0.7181405392,2.0935
1.20,0.211,0.1121890667,0.2239077446,0.06476819255,0.7180963986,2.0931
1.20,0.212,0.1127228314,0.2249685309,0.06507462162,0.7180520168,2.0928
1.20,0.213,0.1132566254,0.2260293114,0.06538104368,0.7180073964,2.0924
1.20,0.214,0.1137904489,0.227090086,0.0656874587,0.7179625385,2.0920
1.20,0.215,0.114324302,0.2281508547,0.06599386667,0.7179174377,2.0916
1.20,0.216,0.1148581848,0.2292116175,0.06630026756,0.7178720980,2.0912
1.20,0.217,0.1153920975,0.2302723743,0.06660666135,0.7178265190,2.0908
1.20,0.218,0.1159260402,0.2313331251,0.06691304802,0.7177806953,2.0904
1.20,0.219,0.116460013,0.2323938698,0.06721942756,0.7177346330,2.0900
1.20,0.220,0.1169940162,0.2334546084,0.06752579994,0.7176883281,2.0896
