q,alpha_h,s,v,lam_max,is_complex,dlam_dq_fd,dlam_dq_pert,c_swing,c_reset,c_reset_geom,c_reset_vel,c_reset_push,norm_BA_minus_J,absEigA1,absEigA2,cos2alpha_h,dabslam_dq
0.239,0.118403261,0.2362535982,0.06833420416,0.717564974,1,-0.9558061381,-0.9558065134,0.1320828533,-1.087889367,-1.051119988,-0.4946799714,0.4579107891,1.577009304e-10,5.732329011,0.9999999903,0.9720921187,-0.04390180544
0.238,0.1179051053,0.2352642332,0.06804846006,0.7176087688,1,-0.9519225261,-0.9519228994,0.1314420224,-1.083364922,-1.046793111,-0.4926645523,0.4560929365,1.031817356e-10,5.733564216,0.9999999987,0.9723253703,-0.04368894086
0.237,0.1174069843,0.2342748786,0.06776271428,0.7176523523,1,-0.9480347319,-0.9480351051,0.130804943,-1.078840048,-1.042465246,-0.4906484076,0.4542737998,1.087085108e-10,5.734793578,1.000000009,0.9725576406,-0.04347736956
0.236,0.1169088978,0.2332855346,0.06747696682,0.7176957239,1,-0.944147755,-0.9441481224,0.1301666226,-1.074314745,-1.038136397,-0.4886315398,0.4524533851,9.872203998e-11,5.736017198,0.9999999982,0.9727889297,-0.04326498394
0.235,0.1164108457,0.2322962009,0.06719121766,0.7177388826,1,-0.9402591766,-0.940259545,0.1295294779,-1.069789023,-1.033806575,-0.4866139555,0.4506316997,1.305332641e-10,5.737234968,1.000000017,0.9730192375,-0.04305326221
0.234,0.1159128278,0.2313068777,0.06690546681,0.7177818308,1,-0.9363666494,-0.9363670134,0.1288958655,-1.065262879,-1.02947578,-0.4845956559,0.4488087493,5.464853772e-11,5.738447003,1.000000001,0.9732485642,-0.04284294509
0.233,0.1154148441,0.2303175649,0.06661971427,0.7178245689,1,-0.9324734171,-0.9324737792,0.1282625413,-1.06073632,-1.025144023,-0.4825766466,0.4469845404,7.798673999e-11,5.739653237,0.9999999891,0.9734769097,-0.04263363947
0.232,0.1149168942,0.2293282623,0.06633396003,0.7178670984,1,-0.9285788953,-0.9285792555,0.127630095,-1.056209351,-1.020811309,-0.4805569312,0.4451590798,8.008095586e-11,5.740853696,1.000000007,0.973704274,-0.04242189285
0.231,0.1144189782,0.2283389701,0.06604820409,0.717909413,1,-0.9246832163,-0.9246835737,0.1269983979,-1.051681972,-1.016477642,-0.4785365131,0.4433323732,9.666711706e-11,5.742048393,0.999999999,0.9739306574,-0.04221190339
0.23,0.1139210958,0.2273496881,0.06576244645,0.7179515226,1,-0.9207857756,-0.920786131,0.1263680572,-1.047154188,-1.012143031,-0.4765153968,0.4415044279,1.143543055e-10,5.743237349,0.999999997,0.9741560597,-0.04200286892
0.229,0.113423247,0.2263604163,0.06547668711,0.7179934191,1,-0.916886426,-0.9168867791,0.1257392242,-1.042626003,-1.00780748,-0.4744935858,0.4396752496,1.245345455e-10,5.744420554,0.9999999946,0.974380481,-0.04179376023
0.228,0.1129254314,0.2253711547,0.06519092605,0.7180351105,1,-0.9129855485,-0.9129858994,0.125111521,-1.03809742,-1.003470995,-0.472471084,0.4378448448,1.422575794e-10,5.745598014,1.000000009,0.9746039213,-0.04158452843
0.227,0.1124276491,0.2243819032,0.06490516329,0.7180765885,1,-0.9090838321,-0.9090841805,0.1244842623,-1.033568443,-0.9991335816,-0.4704478951,0.4360132198,4.899614033e-11,5.746769755,1.000000002,0.9748263808,-0.04137471516
