beta,alpha_p,legacy_alpha_rounding,rho_difference,q_over_T_difference,fixed_point_residual
0.05,0.097948717948718,2.82051282038398e-07,-1.86058264350919e-07,9.26625733227437e-08,2.797787363069e-13
0.05,0.1,0,-2.283252100721e-07,3.66434060740384e-07,2.92266008024391e-13
0.05,0.107954545454545,4.54545454539601e-07,-4.90596267832544e-07,3.52673177717033e-07,2.2975255426405e-13
0.05,0.115909090909091,9.09090909079202e-08,-2.1084935841742e-07,-2.14047694027664e-07,2.68279826482693e-13
0.05,0.123863636363636,3.63636363631681e-07,2.23946547528442e-07,3.02776534150118e-07,3.01279965103106e-13
0.05,0.131818181818182,1.81818181843596e-07,-2.60485499836705e-08,-4.50653179717708e-07,3.50079186133103e-13
0.05,0.139772727272727,2.72727272737638e-07,-1.7960524800742e-07,1.82210085894474e-07,3.91988747376796e-13
0.05,0.147727272727273,2.72727272737638e-07,-4.79864378788442e-07,-1.31094306715651e-07,4.40474488244145e-13
0.05,0.155681818181818,1.81818181788085e-07,-3.67971649706256e-07,2.88607849896483e-07,4.90495942042401e-13
0.05,0.163636363636364,3.63636363631681e-07,3.18058259840548e-07,1.32763516152989e-07,5.47292394119539e-13
0.05,0.171590909090909,9.0909090921798e-08,2.25289704169906e-07,1.05725341661977e-07,6.03884178248636e-13
0.05,0.179545454545455,4.54545454525723e-07,4.01136389494017e-07,-7.4620984294449e-08,6.65577661885328e-13
0.05,0.1875,0,-2.31265949113268e-07,3.23764585211106e-07,7.29970849558391e-13
0.05,0.195454545454545,4.54545454553479e-07,4.59059523949534e-07,4.76909673280401e-08,7.98158610821997e-13
0.05,0.203409090909091,9.09090908940424e-08,-1.80531000870676e-07,-1.40656834513031e-07,8.68382781101836e-13
0.05,0.211363636363636,3.63636363631681e-07,-1.37788578713494e-07,-4.63118693366793e-07,9.3842451603209e-13
0.05,0.219318181818182,1.81818181788085e-07,-2.03479403659834e-07,-1.24969169595923e-07,2.03857832880476e-13
0.05,0.227272727272727,2.72727272737638e-07,3.91413759737169e-07,-3.14336815271377e-07,2.20252077141249e-13
0.05,0.235227272727273,2.72727272737638e-07,-1.11841574446103e-07,-2.0163438574361e-07,2.42106732282826e-13
0.05,0.243181818181818,1.81818181843596e-07,-6.13792902059984e-08,6.09998529466083e-08,2.54407341133861e-13
0.05,0.251136363636364,3.6363636357617e-07,-4.31182793581009e-07,3.40248255709108e-07,2.72342554320919e-13
0.05,0.259090909090909,9.09090909773091e-08,1.04709862724928e-07,-4.77853553643159e-07,2.87038520248834e-13
0.05,0.267045454545455,4.54545454553479e-07,1.61009610755158e-07,-4.87398523457694e-07,3.10732009213778e-13
0.05,0.275,0,-3.96240759537037e-07,2.37894311194697e-07,3.30561061873527e-13
0.05,0.282954545454545,4.54545454553479e-07,-4.78628792544011e-07,-3.54834608723431e-07,3.52426141583024e-13
0.05,0.290909090909091,9.0909090921798e-08,2.02895471701492e-07,-2.97117891290277e-07,3.73755036462133e-13
