q,alpha_p,P,alpha_h,s_real,T,v_nom,v_real,lam_max,margin,N_half,eig_type
0.125,0.06254076179649139,0.004073112598873033,0.06180132163600053,0.12352397690468027,3.455358020122095,0.0361757014098305,0.035748532043668096,0.8386920386298808,0.16130796137011916,3.940313181084084,real
0.126,0.06304174910906445,0.004138716851060647,0.062296492771969615,0.12451241333610931,3.455370575073349,0.03646497452659628,0.036034460163065496,0.8348959722960172,0.1651040277039828,3.8412541001028306,real
0.127,0.06354275226587551,0.00420484942480997,0.062791682113499,0.12550085557714918,3.455383222067547,0.03675424456220196,0.0363203869184892,0.8309656627798958,0.1690343372201042,3.7433663084560744,real
0.128,0.0640437713941938,0.004271510453806726,0.06328688980606437,0.12648930367240954,3.4553959609134224,0.03704351149561558,0.036606312302041505,0.8268876993890963,0.17311230061090366,3.646485134338242,real
0.129,0.06454480662132486,0.004338700072827784,0.0637821159951642,0.1274777576664629,3.455408791418141,0.037332775305886995,0.03689223630589437,0.822646032241168,0.17735396775883205,3.55042662010318,real
0.13,0.0650458580746109,0.004406418417741983,0.06427736082631935,0.1284662176038431,3.4554217133873224,0.037622035972148256,0.03717815892228931,0.8182211893741973,0.1817788106258027,3.454980956951059,real
0.131,0.06554692588143099,0.004474665625510951,0.06477262444507409,0.1294546835290468,3.455434726625003,0.03791129347361468,0.03746408014353897,0.8135892217508689,0.1864107782491311,3.3599042618457373,real
0.132,0.06604801016920145,0.004543441834189953,0.06526790699700716,0.13044315548655475,3.455447830933747,0.038200547789584295,0.03774999996203265,0.8087200070401666,0.19127999295983344,3.264903225913791,real
0.133,0.06654911106537607,0.004612747182928722,0.0657632086277064,0.13143163352078066,3.4554610261144783,0.03848979889944033,0.03803591837022397,0.8035748499354038,0.19642515006459615,3.1696154759202617,real
0.134,0.0670502286974465,0.004682581811972313,0.06625852948278978,0.13242011767611228,3.4554743119666163,0.038779046782650366,0.03832183536064198,0.7981026021602718,0.20189739783972815,3.073576499725897,real
0.135,0.06755136319294247,0.004752945862661964,0.06675386970791139,0.13340860799692295,3.4554876882880374,0.03906829141876742,0.03860775092589549,0.792233045967143,0.20776695403285705,2.976162007156906,real
