q,k_hip,c,alpha_p,alpha_h,s_real,T,lam_max,margin,N_half
0.034,0.0,1.04,0.01700081893984093,0.01695859722637622,0.03391556874574714,3.8122255591022856,0.986228865012019,0.013771134987980993,49.98596260212269
0.032,0.0,1.04,0.01600068274532185,0.0159609294574915,0.03192050357656814,3.81221029463334,0.9878201053618438,0.012179894638156163,56.561846354107715
0.03,0.0,1.04,0.015000562556960754,0.01496328047170093,0.029925444197589406,3.812195953023249,0.9893103606027677,0.010689639397232331,64.49570208271739
0.028,0.0,1.04,0.01400045737367484,0.013965649095301855,0.027930390249062353,3.8121825346965377,0.9907005353140947,0.009299464685905257,74.18913199316921
0.026,0.0,1.04,0.013000366194516442,0.012968034154812782,0.025935341371359843,3.812170040049445,0.9919914590732334,0.008008540926766616,86.20395631341164
0.024,0.0,1.04,0.012000288018664,0.011970434477106138,0.023940297205263094,3.8121584694510817,0.9931838875884322,0.006816112411567765,101.34548280810876
0.022,0.0,1.04,0.011000221845413027,0.010972848889575658,0.021945257392317886,3.8121478232435067,0.9942785105271317,0.005721489472868324,120.80112536899163
0.02,0.0,1.04,0.010000166674167114,0.009975276220227694,0.019950221575038576,3.812138101740335,0.9952759496973118,0.0047240503026881875,146.38046021189123
0.018,0.0,1.04,0.009000121504428887,0.00897771529819862,0.017955189397964325,3.8121293052292295,0.9961767630576672,0.003823236942332775,180.9517202580542
0.016,0.0,1.04,0.008000085335791027,0.007980164954461591,0.015960160509093994,3.812121433969784,0.9969814516047535,0.003018548395246512,229.28256025000454
0.014,0.0,1.04,0.007000057167927228,0.006982624023201976,0.013965134562658415,3.812114488193985,0.9976904546311347,0.0023095453688652956,299.77607454816024
0.012,0.0,1.04,0.0060000360005832126,0.0059850964476764685,0.011970121430677227,3.8121084681238737,0.9983041533024798,0.0016958466975202091,408.38554548288874
0.01,0.0,1.04,0.005000020833567712,0.00498757165765599,0.009975101958633633,3.8121033739006194,0.9988228868053263,0.001177113194673729,588.5068209804925
0.13,0.05,1.04,0.0650458580746109,0.06507231992681715,0.13005281173922556,3.948693204414739,0.6871730711050318,0.3128269288949682,1.8475593776478745
0.12,0.05,1.04,0.06003605844527842,0.0600593728860975,0.12004654484135814,3.948338629406819,0.68736933054179,0.31263066945821005,1.8489667351966885
0.1,0.05,1.04,0.050020856805770016,0.050038652587036034,0.10003554702940179,3.9477123226669746,0.8373121163546033,0.16268788364539666,3.903770601813881
0.08,0.05,1.04,0.040010674353988925,0.04002384069502629,0.080026311600561,3.9471977556602535,0.9050424847588957,0.0949575152411043,6.947214757025713
0.06,0.05,1.04,0.030004501823476935,0.03001375151834376,0.060018491060567385,3.94679621187351,0.9491565606257061,0.05084343937429392,13.2833843290553
0.058,0.05,1.04,0.029004066372440036,0.029012956721791033,0.058017773218053195,3.9467623145643804,0.9526615742061785,0.047338425793821526,14.293004492821968
0.056,0.05,1.04,0.02800365995804695,0.028012196207034733,0.05601706580220363,3.9467295585095803,0.9560214901357833,0.0439785098642167,15.411871543952273
0.054,0.05,1.04,0.027003281576635237,0.027011468726113333,0.0540163683276261,3.9466979445185792,0.9592398264371688,0.04076017356283124,16.656523954272426
0.052,0.05,1.04,0.02600293022479526,0.02601077309765663,0.052015680441444945,3.9466674733712592,0.9623197909435686,0.037680209056431435,18.046731653457126
0.05,0.05,1.04,0.02500260489936114,0.02501010814052223,0.050015001790655884,3.9466381458191293,0.9652643449746001,0.03473565502539988,19.606303312346974
0.048,0.05,1.04,0.024002304597401634,0.02400947267369277,0.04801433202194233,3.9466099625851303,0.9680761837171925,0.03192381628280749,21.36409370860434
